Name,Coordinates,Cuisine,Latitude,Longitude
Hutong New York,"40.76190, -73.96758",Northern Chinese,40.76190, -73.96758
Szechuan Mountain House,"40.73937, -73.98798",Sichuanese,40.73937, -73.98798
Hao Noodle,"40.73382, -74.00001",Sichuanese,40.73382, -74.00001
Congee Village,"40.71883, -73.99035",Cantonese,40.71883, -73.99035
